Abstract,ID
"Polycystic ovary syndrome (PCOS) is a common, complex genetic disorder affecting up to 15% of reproductive-age women worldwide, depending on the diagnostic criteria applied. These diagnostic criteria are based on expert opinion and have been the subject of considerable controversy. The phenotypic variation observed in PCOS is suggestive of an underlying genetic heterogeneity, but a recent meta-analysis of European ancestry PCOS cases found that the genetic architecture of PCOS defined by different diagnostic criteria was generally similar, suggesting that the criteria do not identify biologically distinct disease subtypes. We performed this study to test the hypothesis that there are biologically relevant subtypes of PCOS. Using biochemical and genotype data from a previously published PCOS genome-wide association study (GWAS), we investigated whether there were reproducible phenotypic subtypes of PCOS with subtype-specific genetic associations. Unsupervised hierarchical cluster analysis was performed on quantitative anthropometric, reproductive, and metabolic traits in a genotyped cohort of 893 PCOS cases (median and interquartile range [IQR]: age = 28 [25-32], body mass index [BMI] = 35.4 [28.2-41.5]). The clusters were replicated in an independent, ungenotyped cohort of 263 PCOS cases (median and IQR: age = 28 [24-33], BMI = 35.7 [28.4-42.3]). The clustering revealed 2 distinct PCOS subtypes: a reproductive group (21%-23%), characterized by higher luteinizing hormone (LH) and sex hormone binding globulin (SHBG) levels with relatively low BMI and insulin levels, and a metabolic group (37%-39%), characterized by higher BMI, glucose, and insulin levels with lower SHBG and LH levels. We performed a GWAS on the genotyped cohort, limiting the cases to either the reproductive or metabolic subtypes. We identified alleles in 4 loci that were associated with the reproductive subtype at genome-wide significance (PRDM2/KAZN, P = 2.2 × 10-10; IQCA1, P = 2.8 × 10-9; BMPR1B/UNC5C, P = 9.7 × 10-9; CDH10, P = 1.2 × 10-8) and one locus that was significantly associated with the metabolic subtype (KCNH7/FIGN, P = 1.0 × 10-8). We developed a predictive model to classify a separate, family-based cohort of 73 women with PCOS (median and IQR: age = 28 [25-33], BMI = 34.3 [27.8-42.3]) and found that the subtypes tended to cluster in families and that carriers of previously reported rare variants in DENND1A, a gene that regulates androgen biosynthesis, were significantly more likely to have the reproductive subtype of PCOS. Limitations of our study were that only PCOS cases of European ancestry diagnosed by National Institutes of Health (NIH) criteria were included, the sample sizes for the subtype GWAS were small, and the GWAS findings were not replicated. In conclusion, we have found reproducible reproductive and metabolic subtypes of PCOS. Furthermore, these subtypes were associated with novel, to our knowledge, susceptibility loci. Our results suggest that these subtypes are biologically relevant because they appear to have distinct genetic architecture. This study demonstrates how phenotypic subtyping can be used to gain additional insights from GWAS data.",32574161
"Can a targeted whole exome sequencing (WES) on a cohort of women showing a primary ovarian insufficiency (POI) phenotype at a young age, combined with a study of copy number variations, identify variants in candidate genes confirming their deleterious effect on ovarian function? This integrated approach has proved effective in identifying novel candidate genes unveiling mechanisms involved in POI pathogenesis. POI, a condition occurring in 1% of women under 40 years of age, affects women’s fertility leading to a premature loss of ovarian reserve. The genetic causes of POI are highly heterogeneous and several determinants contributing to its prominent oligogenic inheritance pattern still need to be elucidated. WES screening for pathogenic variants of 41 Italian women with non-syndromic primary and early secondary amenorrhoea occurring before age 25 was replicated on another 60 POI patients, including 35 French and 25 American women, to reveal statistically significant shared variants. The Italian POI patients’ DNA were processed by targeted WES including 542 RefSeq genes expressed or functioning during distinct reproductive or ovarian processes (e.g. DNA repair, meiosis, oocyte maturation, folliculogenesis and menopause). Extremely rare variants were filtered and selected by means of a Fisher Exact test using several publicly available datasets. A case-control Burden test was applied to highlight the most significant genes using two ad-hoc control female cohorts. To support the obtained data, the identified genes were screened on a novel cohort of 60 Caucasian POI patients and the same case-control analysis was carried out. Comparative analysis of the human identified genes was performed on mouse and Drosophila melanogaster by analysing the orthologous genes in their ovarian phenotype, and two of the selected genes were fruit fly modelled to explore their role in fertility. The filtering steps applied to search for extremely rare pathogenic variants in the Italian cohort revealed 64 validated single-nucleotide variants/Indels in 59 genes in 30 out of 41 screened women. Burden test analysis highlighted 13 ovarian genes as being the most enriched and significant. To validate these findings, filtering steps and Burden analysis on the second cohort of Caucasian patients yielded 11 significantly enriched genes. Among them, AFP, DMRT3, MOV10, FYN and MYC were significant in both patient cohorts and hence were considered strong candidates for POI. Mouse and Drosophila comparative analysis evaluated a conserved role through the evolution of several candidates, and functional studies using a Drosophila model, when applicable, supported the conserved role of the MOV10 armitage and DMRT3 dmrt93B orthologues in female fertility. The datasets for the Italian cohort generated during the current study are publicly available at ClinVar database (http://www.ncbi.nlm.nih.gov/clinvar/): accession numbers SCV001364312 to SCV001364375. This is a targeted WES analysis hunting variants in candidate genes previously identified by different genomic approaches. For most of the investigated sporadic cases, we could not track the parental inheritance, due to unavailability of the parents’ DNA samples; in addition, we might have overlooked additional rare variants in novel candidate POI genes extracted from the exome data. On the contrary, we might have considered some inherited variants whose clinical significance is uncertain and might not be causative for the patients’ phenotype. Additionally, as regards the Drosophila model, it will be extremely important in the future to have more mutants or RNAi strains available for each candidate gene in order to validate their role in POI pathogenesis. The genomic, statistical, comparative and functional approaches integrated in our study convincingly support the extremely heterogeneous oligogenic nature of POI, and confirm the maintenance across the evolution of some key genes safeguarding fertility and successful reproduction. Two principal classes of genes were identified: (i) genes primarily involved in meiosis, namely in synaptonemal complex formation, asymmetric division and oocyte maturation and (ii) genes safeguarding cell maintenance (piRNA and DNA repair pathways). This work was supported by Italian Ministry of Health grants ‘Ricerca Corrente’ (08C621_2016 and 08C924_2019) provided to IRCCS Istituto Auxologico Italiano, and by ‘Piano Sostegno alla Ricerca’ (PSR2020_FINELLI_LINEA_B) provided by the University of Milan; M.P.B. was supported by Telethon-Italy (grant number GG14181). There are no conflicts of interest.",34480478
"Endometriosis, regarded as a complex disease, is influenced by multiple genetic factors. Recent genome-wide association studies (GWASs) in endometriosis have identified several susceptibility loci in Caucasian and Japanese populations. However, the overlapped susceptible loci were few. This case-control study tried to identify risk loci-related genes for ovarian endometrioma in Chinese Han women from central China using DNA pooling-based GWAS. Genome DNA samples were extracted from 3038 participants in central China. Pooling-based genome-wide scan and individual genotyping were performed using Affymetrix Genome-Wide Human SNP Array 6.0 and IPLEX Gold system, which demonstrated 10 ovarian endometrioma-related novel risk loci. There were 3 of them with P value < 5 × 10-06, separately locating in intron of insulin-like growth factor 1 receptor, chromosome 7 open reading frame 50, and Meis homeobox 1. In conclusion, the pooling-based GWAS for ovarian endometrioma identified some novel single-nucleotide polymorphisms in Chinese Han women of central China. Further assessment in other samples will be crucial to confirm the susceptibility of these results and explore the mechanisms of the related genes in the pathogenesis of ovarian endometrioma.",27506219
"Endometriosis is a common gynaecological disease, associated with severe pelvic pain and reduced fertility; however, molecular mechanisms remain largely unknown. Genome-wide association studies (GWAS) are able to identify genetic loci, which can play significant role during endometriosis development. The study aimed at localisation of new genes and chromosomal loci, the nucleotide variants of which determine the level of susceptibility to endometriosis. Blood samples from 171 patients with endometriosis were used as material for studies. The patients were recruited to the study at the Department of Operative Gynaecology of the Institute of the Polish Mother's Memorial Hospital in Lodz. A control group (n=2934) came from the POPULOUS collection registered at Biobank Lab, Department of Molecular Biophysics, University of Lodz. DNA of the patients with endometriosis was compared with DNA of women free from that disease, the comparison being supported by GWAS. Genome-wide significant correlation was identified between one new, not previously described, single nucleotide polymorphism (SNP), rs10129516, localised on chromosome 14 in intergenic region between PARP1P2 and RHOJ genes (p=1.44×10-10, OR=3.104, 95% CI=2.329-4.136) and endometriosis. We have also identified significant association with endometriosis of 18 SNPs localised on chromosome 6 in position range 31883957 - 32681631 (C2 and HLA-DRA genes region) with the lowest observed p value for rs644045 in C2 gene (p=2.04×10-8, OR=1.955, 95% CI=1.541-2.480). Reported GWAS identified the novel loci associated with endometriosis in Polish women, not previously reported. The most interesting observation shown in our study are regions associated with susceptibility to endometriosis of loci located near C2, HLA-DRA and RHOJ genes. Results of that study did not correspond to previously published data about polymorphism in that regions and further evaluations are necessary in groups with higher numbers of patients to explain whether the above-mentioned genetic variant may be the risk factor for pathogenesis of endometriosis.",28881265
"Polycystic ovary syndrome (PCOS) is a disorder characterized by hyperandrogenism, ovulatory dysfunction and polycystic ovarian morphology. Affected women frequently have metabolic disturbances including insulin resistance and dysregulation of glucose homeostasis. PCOS is diagnosed with two different sets of diagnostic criteria, resulting in a phenotypic spectrum of PCOS cases. The genetic similarities between cases diagnosed based on the two criteria have been largely unknown. Previous studies in Chinese and European subjects have identified 16 loci associated with risk of PCOS. We report a fixed-effect, inverse-weighted-variance meta-analysis from 10,074 PCOS cases and 103,164 controls of European ancestry and characterisation of PCOS related traits. We identified 3 novel loci (near PLGRKT, ZBTB16 and MAPRE1), and provide replication of 11 previously reported loci. Only one locus differed significantly in its association by diagnostic criteria; otherwise the genetic architecture was similar between PCOS diagnosed by self-report and PCOS diagnosed by NIH or non-NIH Rotterdam criteria across common variants at 13 loci. Identified variants were associated with hyperandrogenism, gonadotropin regulation and testosterone levels in affected women. Linkage disequilibrium score regression analysis revealed genetic correlations with obesity, fasting insulin, type 2 diabetes, lipid levels and coronary artery disease, indicating shared genetic architecture between metabolic traits and PCOS. Mendelian randomization analyses suggested variants associated with body mass index, fasting insulin, menopause timing, depression and male-pattern balding play a causal role in PCOS. The data thus demonstrate 3 novel loci associated with PCOS and similar genetic architecture for all diagnostic criteria. The data also provide the first genetic evidence for a male phenotype for PCOS and a causal link to depression, a previously hypothesized comorbid disease. Thus, the genetics provide a comprehensive view of PCOS that encompasses multiple diagnostic criteria, gender, reproductive potential and mental health.",30566500
"Recently, several research groups have evaluated CAPN10 gene in polycystic ovarian syndrome (PCOS) patients and other phenotypes, including hirsutism or intermediate phenotypes of PCOS. Molecular genetic analysis of CAPN10 gene indicates that different alleles may play a role in PCOS susceptibility and could be associated with idiopathic hirsutism. However, these observations are not exempt from controversy, because independent studies cannot replicate these preliminary findings. We present a haplotype-phenotype correlation study of CAPN10 haplotypes in 148 women showing ecographically detected polycystic ovaries (PCO) combined with one or more of these clinical symptoms: amenorrhea or severe oligomenorrhea, hyperandrogenism, and anovulatory infertility, as well as 93 unrelated controls. We have reconstructed and analyzed 482 CAPN10 haplotypes in patients and controls. We detected the association of UCSNP-44 allele with PCO phenotype in the Spanish population (P = 0.02). In addition, we identified several CAPN10 alleles associated to phenotypic differences observed between PCO patients, such as the presence of hypercholesterolemia (haplotype 1121, P = 0.005), presence of hyperandrogenic features (P = 0.05), and familial cancer incidence (haplotype 1111, P = 0.0005). Our results confirm the association of UCSNP-44 allele with PCO phenotype in the Spanish population. Moreover, we have identified novel candidate risk alleles and genotypes, within CAPN10 gene, that could be associated with important phenotypic and prognosis differences observed in PCOS patients.",14602801
"Epidemiological data on rare diseases in China are currently limited. The objective of this study was to provide a comprehensive understanding of the prevalence and incidence of rare diseases by systematically analyzing the available epidemiological data. We conducted a comprehensive search of English and Chinese databases, the Incidence and Prevalence Database, the Chinese Rare Disease Guideline, and the Taiwan Health Promotion Administration from 2010 to 2023. We identified the top diseases and regions based on epidemiological data and present the maximum, minimum, and median prevalence and incidence values in tables and forest plots. 1,264 prevalence and incidence data were retrieved from 277 studies, guidelines and official websites, covering 110 rare diseases (53.1%) and 32 regions (94.1%). In terms of geographical regions, incidence or prevalence data were available for 32 regions (94.1%), excluding Tibet Hui Autonomous Region and Macao Special Administrative Region. In terms of rate, 60 and 77 out of 207 diseases (29.0% and 37.2%) had available incidence and prevalence data, respectively. Eight diseases had an incidence rate equal to or greater than that of 1,000 patients per million. The present study provides a comprehensive epidemiological analysis and valuable insights into the prevalence and incidence of rare diseases in China. Our findings underscore the pressing need for sustained drug research and medical support for individuals and families impacted by rare diseases.",11145401
"Rapid onset obesity with hypoventilation, hypothalamic, and autonomic dysregulation (ROHHAD) syndrome in childhood is characterized by abrupt onset weight gain and dysautonomia with variable neuroendocrine involvement. In the absence of definitive disease-modifying therapies, the primary management strategy remains symptom control. This case report describes the first successful correction of obesity, dysautonomia, and metabolic derangement in a patient with ROHHAD following Roux-en-Y gastric bypass. Anthropometrics, metabolic profiling, and stool microbiome composition were assessed in a longitudinal fashion. In the 48-month period following surgery, the patient body mass index (BMI) reduced by 9.5 kg/m2 and metabolic status improved, evidenced in weaning of insulin, and improved glycated hemoglobin, lipid profile, and hepatic enzymes. Chronic diarrhea resolved after surgery and prior to significant weight loss. Evaluation of stool bacterial composition and biomass demonstrated shifts in absolute abundance and taxonomic composition in longitudinal samples following surgery. This case demonstrates the potential efficacy of bariatric surgery in correcting the metabolic disruption of ROHHAD syndrome, producing long-term changes in gut microbiome composition and biomass.",11146140
"Methylation-mediated gene silencing is closely related to the occurrence and development of human tumors. The euchromatic histone lysine methyltransferase 2 (EHMT2, also known as G9a) is highly expressed in many tumors and is generally considered to be an oncogene, which is associated with the poor outcome of many tumors. Combined immunotherapy and immune checkpoint blockade therapy also have good efficacy and certain safety. However, there are still many difficulties in the drugs targeting G9a, and the combined effect and safety of G9a with many drugs is still under study. This article aims to summarize the role and mechanism of G9a and its inhibitors in tumors in the past two years, and to understand the application prospect of G9a from the perspective of diagnosis and treatment.",11146345
"The study aimed to systematically evaluate the relationship between CYP3A5*3 gene polymorphisms and the blood concentration and effectiveness of tacrolimus (TAC) in patients with membranous nephropathy (MN). PubMed, Cochrane Library, Embase, Web of Science, China Biomedical, China National Knowledge Infrastructure, Wanfang, Vipshop, ReadShow, Clinical Trials Registry, and other databases were searched. Studies on the relationship between CYP3A5*3 gene polymorphism and TAC blood concentration in MN patients were collected, and meta-analysis was performed using Stata 16 software.  A total of eight publications were included in the study, including 498 MN patients. CYP3A5*3 gene polymorphisms are associated with tacrolimus blood levels in patients with MN. The results of the relationship between CYP3A5*3 genotype polymorphisms and tacrolimus blood trough concentrations of the AA + AG genotype were lower than those of the GG genotype at ≤1 month [WMD = −2.08, 95% CI (−2.57, −1.59), p < 0.001] and 1–6 months [WMD = −0.63, 95% CI (−0.98, −0.27), p < 0.001]; however, they were not statistically significant at ≥6 months (p = 0.211). Furthermore, the subgroup analysis revealed that the dose-adjusted concentration of tacrolimus (C0/D) of the AA + AG genotype was lower than that of the GG genotype at ≤1 month [SMD = −1.93, 95% CI (−2.79, −1.08), p < 0.001], 1–6 months [SMD = −2.25, 95% CI (−2.71, −1.79), p < 0.001], and ≥6 months [SMD = −2.36, 95% CI (−2.86, −1.86), p < 0.001]. In addition, there was no statistically significant difference in effectiveness between the two groups at 3, 6, and 12 months of TAC administration (p > 0.05). Serum TAC concentrations in MN patients were correlated with CYP3A5*3 genotype polymorphisms. Detection of the CYP3A5*3 genotype before the administration of TAC may provide some clinical value for optimizing the treatment of MN patients. https://inplasy.com/, identifier [INPLASY202430083].",11148365
