Abstract,ID
"RNA binding proteins play essential roles in coordinating germline gene expression and development in all organisms. Here, we report that loss of ADR-2, a member of the Adenosine DeAminase acting on RNA (ADAR) family of RNA binding proteins and the sole adenosine-to-inosine RNA editing enzyme in C. elegans, can improve fertility in multiple genetic backgrounds. First, we show that loss of RNA editing by ADR-2 restores normal embryo production to subfertile animals that transgenically express a vitellogenin (yolk protein) fusion to green fluorescent protein. Using this phenotype, a high-throughput screen was designed to identify RNA binding proteins that when depleted yield synthetic phenotypes with loss of adr-2. The screen uncovered a genetic interaction between ADR-2 and SQD-1, a member of the heterogenous nuclear ribonucleoprotein (hnRNP) family of RNA binding proteins. Microscopy, reproductive assays, and high-throughput sequencing reveal that sqd-1 is essential for the onset of oogenesis and oogenic gene expression in young adult animals, and that loss of adr-2 can counteract the effects of loss of sqd-1 on gene expression and rescue the switch from spermatogenesis to oogenesis. Together, these data demonstrate that ADR-2 can contribute to the suppression of fertility and suggest novel roles for both RNA editing-dependent and independent mechanisms in regulating embryogenesis.",10635048
"Tumor biomarkers, the substances which are produced by tumors or the body’s responses to tumors during tumorigenesis and progression, have been demonstrated to possess critical and encouraging value in screening and early diagnosis, prognosis prediction, recurrence detection, and therapeutic efficacy monitoring of cancers. Over the past decades, continuous progress has been made in exploring and discovering novel, sensitive, specific, and accurate tumor biomarkers, which has significantly promoted personalized medicine and improved the outcomes of cancer patients, especially advances in molecular biology technologies developed for the detection of tumor biomarkers. Herein, we summarize the discovery and development of tumor biomarkers, including the history of tumor biomarkers, the conventional and innovative technologies used for biomarker discovery and detection, the classification of tumor biomarkers based on tissue origins, and the application of tumor biomarkers in clinical cancer management. In particular, we highlight the recent advancements in biomarker-based anticancer-targeted therapies which are emerging as breakthroughs and promising cancer therapeutic strategies. We also discuss limitations and challenges that need to be addressed and provide insights and perspectives to turn challenges into opportunities in this field. Collectively, the discovery and application of multiple tumor biomarkers emphasized in this review may provide guidance on improved precision medicine, broaden horizons in future research directions, and expedite the clinical classification of cancer patients according to their molecular biomarkers rather than organs of origin.",11102923
"Miscarriage is a frustrating complication of pregnancy that is common among women of reproductive age. Insufficient decidualization which not only impairs embryo implantation but disturbs fetomaternal immune-tolerance, has been widely regarded as a major cause of miscarriage; however, the underlying mechanisms resulting in decidual impairment are largely unknown. With informed consent, decidual tissue from patients with spontaneous abortion or normal pregnant women was collected to detect the expression profile of UCHL1. Human endometrial stromal cells (HESCs) were used to explore the roles of UCHL1 in decidualization and dNK modulation, as well as the mechanisms involved. C57/BL6 female mice (7–10 weeks old) were used to construct pregnancy model or artificially induced decidualization model to evaluate the effect of UCHL1 on mice decidualization and pregnancy outcome. The Ubiquitin C-terminal hydrolase L1 (UCHL1), as a deubiquitinating enzyme, was significantly downregulated in decidua from patients with miscarriage, along with impaired decidualization and decreased dNKs. Blockage of UCHL1 led to insufficient decidualization and resultant decreased expression of cytokines CXCL12, IL-15, TGF-β which were critical for generation of decidual NK cells (dNKs), whereas UCHL1 overexpression enhanced decidualization accompanied by increase in dNKs. Mechanistically, the promotion of UCHL1 on decidualization was dependent on its deubiquitinating activity, and intervention of UCHL1 inhibited the activation of JAK2/STAT3 signaling pathway, resulting in aberrant decidualization and decreased production of cytokines associated with dNKs modulation. Furthermore, we found that inhibition of UCHL1 also disrupted the decidualization in mice and eventually caused adverse pregnancy outcome. UCHL1 plays significant roles in decidualization and dNKs modulation during pregnancy in both humans and mice. Its deficiency indicates a poor pregnancy outcome due to defective decidualization, making UCHL1 a potential target for the diagnosis and treatment of miscarriage. The online version contains supplementary material available at 10.1186/s12967-024-05253-0.",11103838
"We present a unique case of hypokalemic thyrotoxic periodic paralysis (TPP) in an adolescent girl in North America. TPP is a rare but dangerous complication seen in thyrotoxic patients characterized by hypokalemia and acute proximal symmetric lower-extremity weakness. It is an especially rare phenomenon in pediatrics, with roughly 20 case reports described in adolescents worldwide; the majority are male. Our patient is a 14-year-old Asian girl with biochemical hyperandrogenism and known Graves disease who presented with an acute episode of lower-extremity weakness after eating a carbohydrate-rich meal. Laboratory workup revealed hypokalemia, hypomagnesemia, an undetectable thyrotropin, and hyperthyroxinemia. Electrolyte derangements responded well to supplementation, and the muscle weakness resolved with electrolyte normalization. Following improvement in thyroid function, the patient underwent thyroidectomy for definitive management of Graves disease. As TPP is potentially exacerbated by higher androgen and insulin levels, we suspect that with increasing rates of obesity and polycystic ovary syndrome, the incidence of TPP among adolescents may increase. It is therefore critically important that there is awareness and recognition of this serious diagnosis among all health care providers.",11104527
"Glioblastoma (GBM) is the most common and aggressive brain tumor in adults. To identify genes differentially required for the viability of GBM stem-like cells (GSCs), we performed functional genomic lethality screens comparing GSCs and control human neural stem cells. Among top-scoring hits in a subset of GBM cells was the F-box-containing gene FBXO42, which was also predicted to be essential in ∼15% of cell lines derived from a broad range of cancers. Mechanistic studies revealed that, in sensitive cells, FBXO42 activity prevents chromosome alignment defects, mitotic cell cycle arrest and cell death. The cell cycle arrest, but not the cell death, triggered by FBXO42 inactivation could be suppressed by brief exposure to a chemical inhibitor of Mps1, a key spindle assembly checkpoint (SAC) kinase. FBXO42’s cancer-essential function requires its F-box and Kelch domains, which are necessary for FBXO42’s substrate recognition and targeting by SCF (SKP1–CUL1–F-box protein) ubiquitin ligase complex. However, none of FBXO42’s previously proposed targets, including ING4, p53 and RBPJ, were responsible for the observed phenotypes. Instead, our results suggest that FBOX42 alters the activity of one or more proteins that perturb chromosome–microtubule dynamics in cancer cells, which in turn leads to induction of the SAC and cell death.",11106029
"Infertility is defined as the failure to achieve pregnancy after one year of unprotected intercourse within a marital relationship. Approximately 10%–15% of couples worldwide experience infertility issues, with nearly half of these cases attributed to male factors. Among men with unexplained infertility, genetic mutations have been identified as a potential cause. Studies have indicated that mutations affecting the function of the protein encoded by the ACTL9 gene may play a role in male infertility. The purpose of this research was to identify mutations in the ACTL9 gene associated with male infertility in a sample of 40 infertile men with unknown causes. Genomic DNA extraction and PCR amplification were carried out on samples from each individual. The genetic material was then analyzed using Sanger sequencing, followed by bioinformatics and segregation analysis to determine the potential effects of the observed variations. A novel genetic variant, c.376G>A (p.Glu126Lys), was identified in an infertile male individual, representing a previously unreported finding that was validated through segregation analyses. This specific variant induces a change from glutamate to lysine at the amino acid level by replacing the nucleotide G with A in the genomic DNA sequence, consequently impacting the secondary structure and function of the protein. The conclusive analysis of the procedure indicated that this alteration has the potential to interfere with the process of fertilization, ultimately resulting in the complete failure of fertilization (TFF) and causing male infertility.",11106586
"Immunotherapy represented by anti-PD-(L)1 and anti-CTLA-4 inhibitors has revolutionized cancer treatment, but challenges related to resistance and toxicity still remain. Due to the advancement of immuno-oncology, an increasing number of novel immunoregulatory targets and mechanisms are being revealed, with relevant therapies promising to improve clinical immunotherapy in the foreseeable future. Therefore, comprehending the larger picture is important. In this review, we analyze and summarize the current landscape of preclinical and translational mechanistic research, drug development, and clinical trials that brought about next-generation pharmacological immunoregulatory anti-cancer agents and drug candidates beyond classical immune checkpoint inhibitors. Along with further clarification of cancer immunobiology and advances in antibody engineering, agents targeting additional inhibitory immune checkpoints, including LAG-3, TIM-3, TIGIT, CD47, and B7 family members are becoming an important part of cancer immunotherapy research and discovery, as are structurally and functionally optimized novel anti-PD-(L)1 and anti-CTLA-4 agents and agonists of co-stimulatory molecules of T cells. Exemplified by bispecific T cell engagers, newly emerging bi-specific and multi-specific antibodies targeting immunoregulatory molecules can provide considerable clinical benefits. Next-generation agents also include immune epigenetic drugs and cytokine-based therapeutics. Cell therapies, cancer vaccines, and oncolytic viruses are not covered in this review. This comprehensive review might aid in further development and the fastest possible clinical adoption of effective immuno-oncology modalities for the benefit of patients.",11109181
"The presence of cancer cachexia is a significant adverse prognostic indicator in patients with malignant tumors. Cancer cachexia is a multifactorial syndrome characterized by a constant loss of skeletal muscles with or without a loss of weight, leading to immune dysfunction. We performed a retrospective study to investigate the influence of cachexia on the immunotherapy efficacy and prognosis for malignant tumors of the digestive system. The present study adopts a cross‐sectional design. The prognosis data of patients with advanced cancer of the digestive system who received immunotherapy from September 2021 to December 2022 were analyzed. Cachexia was calculated using the change of the area of the psoas major muscle (PMMA) or the weight. We measured the change at the beginning of immunotherapy and at least 2 cycles afterward. The participants were categorized into the cachexia group and control group based on the evaluation criteria. Kaplan–Meier and Log‐rank methods were used for survival analysis. Cox proportional hazard model as a method to assess the contribution of different clinical factors to overall survival (OS) and progression‐free survival (PFS). A total number of 98 patients, including esophageal carcinoma (4, 4%), gastric (36, 37%), colorectal (51, 52%), and other cancer types (7, 7%), were enrolled. Fifty‐four patients were diagnosed with non‐cancer cachexia, and the cancer cachexia group included 44 patients. The median PFS in the cachexia group was shorter than that in the control group (130 days vs. 212 days). Their difference was not significant (p = .321). The survival rate of the patients without cachexia was longer than of those with cachexia (p = .027). The level of albumin and the number of metastatic organs were related to PFS (p = .020, p = .029). The albumin level was significantly associated with the OS of patients (p = .003). The presence of cachexia was significantly associated with poor OS in patients with malignant tumors of the digestive system who received immunotherapy, not with PFS or the response to immunotherapy.",11110103
"Patients with spinal cord injury have a relatively high risk for bladder cancer and often complicated with bladder cancer in advanced stages, and the degree of aggressiveness of malignancy is high. Most of the literature is based on disease clinical features while, our study reviews the clinical characteristics and molecular mechanisms of spinal cord injury patients with bladder cancer, so that it might help clinicians better recognize and manage these patients. We searched PubMed, Web of Science and Embase, using retrieval type like (“Neurogenic Lower Urinary Tract Dysfunction” OR “Spinal cord injury” OR “Spinal Cord Trauma”) AND (“bladder cancer” OR “bladder neoplasm” OR “bladder carcinoma” OR “Urinary Bladder Neoplasms” OR “Bladder Tumor”). In Web of Science, the retrieval type was searched as “Topic”, and in PubMed and Embase, as “All Field”. The methodological quality of eligible studies and their risk of bias were assessed using the Newcastle-Ottawa scale. This article is registered in PROSPERO with the CBD number: CRD42024508514. In WOS, we searched 219 related papers, in PubMed, 122 and in Embase, 363. Thus, a total of 254 articles were included after passing the screening, within a time range between 1960 and 2023. A comprehensive analysis of the data showed that the mortality and incidence rates of bladder cancer in spinal cord injury patients were higher than that of the general population, and the most frequent pathological type was squamous cell carcinoma. In parallel to long-term urinary tract infection and indwelling catheterization, the role of molecules such as NO, MiR 1949 and Rb 1. was found to be crucial pathogenetically. This review highlights the risk of bladder cancer in SCI patients, comprehensively addressing the clinical characteristics and related molecular mechanisms. However, given that there are few studies on the molecular mechanisms of bladder cancer in spinal cord injury, further research is needed to expand the understanding of the disease. The online version contains supplementary material available at 10.1186/s12894-024-01457-0.",11110351
"Inflammatory bowel disease (IBD) is a chronic and recurrent condition affecting the gastrointestinal tract. Disturbed gut microbiota and abnormal bile acid (BA) metabolism are notable in IBD, suggesting a bidirectional relationship. Specifically, the diversity of the gut microbiota influences BA composition, whereas altered BA profiles can disrupt the microbiota. IBD patients often exhibit increased primary bile acid and reduced secondary bile acid concentrations due to a diminished bacteria population essential for BA metabolism. This imbalance activates BA receptors, undermining intestinal integrity and immune function. Consequently, targeting the microbiota-BA axis may rectify these disturbances, offering symptomatic relief in IBD. Here, the interplay between gut microbiota and bile acids (BAs) is reviewed, with a particular focus on the role of gut microbiota in mediating bile acid biotransformation, and contributions of the gut microbiota-BA axis to IBD pathology to unveil potential novel therapeutic avenues for IBD.",11110704
