text,AwT_score,SoE_score,ID
"Nutritional status and gene polymorphisms of one-carbon metabolism confer a well-known interaction that in pregnant women may affect embryo viability and the health of the newborn. Folate metabolism directly impacts nucleotide synthesis and methylation, which is of increasing interest in the reproductive medicine field. Studies assessing the genetic influence of folate metabolism on IVF treatments have currently been performed in women using their own oocytes. Most of these patients seeking to have a child or undergoing IVF treatments are advised to preventively intake folate supplies that restore known metabolic imbalances, but the treatments could lead to the promotion of specific enzymes in specific women, depending on their genetic variance. In the present study, we assess the influence of candidate gene variants related to folate metabolism, such as Serine Hydroxymethyltransferase 1 SHMT1 (rs1979276 and rs1979277), Betaine-Homocysteine S-Methyltransferase BHMT (rs3733890), Methionine synthase reductase MTRR (rs1801394), Methylenetetrahydrofolate reductase MTHFR (rs1801131 and rs1801133), methionine synthase MTR (rs12749581), ATP Binding Cassette Subfamily B Member 1 ABCB1 (rs1045642) and folate receptor alpha FOLR1 (rs2071010) on the success of IVF treatment performed in women being recipients of donated oocytes. The implication of such gene variants seems to have no direct impact on pregnancy consecution after IVF; however, several gene variants could influence pregnancy loss events or pregnancy maintenance, as consequence of folic acid fortification.", 0.9, 0.2, "PMC9569987"
"Thrombophilic gene polymorphism is known to be a risk factor for recurrent pregnancy loss (RPL), but few studies have confirmed a possible role of thrombophilic genes polymorphism in RPL risk. This study was conducted to understand the relationship of the mutations of some thrombophilia-associated gene polymorphism (heterozygous/homozygous) with RPL. We compared patients with 2 abortions to patients with 3 or more abortions among Turkish women. Material/Methods In this study, patients previously diagnosed with habitual abortus at Obstetrics and Gynecology outpatient clinics in Turkey between 2012 and 2016 were included. In their peripheral blood, we detected factor V Leiden H1299R, prothrombin G20210A, MTHFR C677T, MTHFR A1298C, PAI-1 4G/5G, and PAI-1 4G/4G gene mutations. Results In this study, we have observed statistically meaningful data (P<0.01) related to the relationship between RPL and thrombophilia-associated gene polymorphisms such as heterozygous factor V Leiden H1299R, heterozygous prothrombin G20210A, PAI-1 4G/5G, and PAI-1 4G/4G. Conclusions We found that diagnosis of thrombophilic genes polymorphism is useful to determine the causes of RPL, recognizing that this multifactorial disease can also be influenced by various acquired factors, including reproduction-associated risk factors and prolonged immobilization.", 0.9, 0.5, "PMC6045916"
"Background Whether adiponectin (ADIPOQ) polymorphisms are associated with the risk of polycystic ovary syndrome (PCOS) remain controversial. Therefore, we performed this study to better explore correlations between ADIPOQ polymorphisms and PCOS risk. Methods Literature retrieve was conducted in PubMed, Medline and Embase. Odds ratios (ORs) and 95% confidence intervals (CIs) were calculated. Results Eighteen studies were enrolled for analyses. Pooled overall analyses showed that rs1501299 polymorphism was significantly associated with PCOS risk (recessive model: p = 0.02, OR = 0.77, 95%CI 0.62–0.95; allele model: p = 0.001, OR = 1.15, 95%CI 1.06–1.26). Further subgroup analyses according to ethnicity of participants revealed that rs1501299 and rs2241766 polymorphisms were both significantly correlated with PCOS risk in Caucasians. In addition, rs1501299 polymorphism was also significantly correlated with PCOS risk in East Asians. Conclusions Our findings indicated that rs1501299 and rs2241766 polymorphisms might serve as genetic biomarkers of PCOS in certain ethnicities.", 0.95, 1, "PMC6278103"
"Polycystic ovary syndrome (PCOS) is a common, highly heritable complex disorder of unknown aetiology characterized by hyperandrogenism, chronic anovulation and defects in glucose homeostasis. Increased luteinizing hormone relative to follicle-stimulating hormone secretion, insulin resistance and developmental exposure to androgens are hypothesized to play a causal role in PCOS. Here we map common genetic susceptibility loci in European ancestry women for the National Institutes of Health PCOS phenotype, which confers the highest risk for metabolic morbidities, as well as reproductive hormone levels. Three loci reach genome-wide significance in the case–control meta-analysis, two novel loci mapping to chr 8p32.1 and chr 11p14.1, and a chr 9q22.32 locus previously found in Chinese PCOS. The same chr 11p14.1 SNP, rs11031006, in the region of the follicle-stimulating hormone B polypeptide (FSHB) gene strongly associates with PCOS diagnosis and luteinizing hormone levels. These findings implicate neuroendocrine changes in disease pathogenesis.", 0.95, 1, "PMC4557132"
"Objective: Endometriosis has been considered an epigenetic disease. Single nucleotide polymorphisms (SNPs) located in genes encoding enzymes of the folate and choline metabolism may affect DNA methyltransferase activity. Study design: We studied 16 SNPs in 12 folate and choline metabolism genes, including BHMT (rs7356530 and rs3733890), BHMT2 (rs625879), CBS (844ins68), CHDH (rs893363 and rs2289205), CHKA (rs7928739), MTHFD1 (rs2236225), MTHFR (rs1801133), MTR (rs1805087), MTRR (rs1801394), PCYT1A (rs712012 and rs7639752), PEMT (rs4244593 and rs4646406) and TCN (rs1801198) in one hundred and sixty-three infertile women with minimal endometriosis and one hundred and fifty fertile women. Results: There were no significant differences between genotype and allele frequencies of these gene variants in infertile women with endometriosis (n=163) and controls (n=150). The lowest, but not statistically significant, p values of the trend test were observed for the CBS 844ins68 and MTR rs1805087 (ptrend=0.0527 and ptrend=0.0771, respectively) polymorphisms. However, the exhaustive multifactor dimensionality reduction analysis revealed an epistatic interaction between rs1801133 of MTHFR and rs4244593 of PEMT in endometriosis-associated infertility (p=0.0240). Conclusions: Our results showed moderate evidence for the contribution of SNPs located in genes encoding folate and choline metabolism enzymes to infertility in women with endometriosis.", 0.95, 0.55, "21429654"
"Objective To present the development of the first custom gene panel for the diagnosis of male and female infertility in Latin America. Methods We developed a next-generation sequencing (NGS) panel that assesses genes associated with infertility. The panel targeted exons and their flanking regions. Selected introns in the CFTR gene were also included. The FMR1 gene and Y chromosome microdeletions were analyzed with other recommended methodologies. An in-house developed bioinformatic pipeline was applied for the interpretation of the results. Clear infertility phenotypes, idiopathic infertility, and samples with known pathogenic variants were evaluated. Results A total of 75 genes were selected based on female (primary ovarian insufficiency, risk of ovarian hyperstimulation syndrome, recurrent pregnancy loss, oocyte maturation defects, and embryo development arrest) and male conditions (azoospermia, severe oligospermia, asthenozoospermia, and teratozoospermia). The panel designed was used to assess 25 DNA samples. Two of the variants found were classified as pathogenic and enable the diagnosis of a woman with secondary amenorrhea and a man with oligoasthenoteratozoospermia. Targeted NGS assay metrics resulted in a mean of 180X coverage, with more than 98% of the bases covered ≥20X. Conclusion Our custom gene sequencing panel designed for the diagnosis of male and female infertility caused by genetic defects revealed the underlying genetic cause of some cases of infertility. The panel will allow us to develop more precise approaches in assisted reproduction.", 0.95, 0.55, "PMC7169920"
"Introduction: The aim of the study was to evaluate the contribution of genetic variants determining inherited thrombophilia to recurrent miscarriage (RM) in the Polish population. The following polymorphisms were analyzed: 1691G>A, 1328T>C of coagulation factor V, 20210G>A of coagulation factor II, R353Q (11496G>A) of coagulation factor VII, 667C>T, 1298A>C, 1793G>A of MTHFR. Material and methods: A total of 359 women with ≥ 2 subsequent recurrent miscarriages (303 < 13 weeks of gestation (w.g.) and 56 between 13-22 w.g.) and 400 healthy controls were included in the study. Frequency of the genetic polymor-phisms was determined with the PCR/RFLP method. Results: Higher frequency of the 20210GA genotype was found in the RM < 13 w.g. (2.97 vs. 1.50% in controls, OR = 2.01, ns) and the RM 13-22 w.g. (5.36 vs. 1.50% in controls, OR = 3.72, p = 0.09) subgroups. Statistically significantly higher frequency of the 11496GA genotype was noted in controls as compared to the RM 13-22 w.g. subgroup (10.71 vs. 23.00% in controls, OR = 0.40, p = 0.02). Statistically significantly higher frequency of the 1793GA genotype was observed in the RM < 13 w.g. subgroup as compared to controls (12.21 vs. 7.75% in controls, OR = 1.66, p = 0.03). No significant correlations were found as far as the rest of the analyzed polymorphisms are concerned. Conclusions: The obtained results suggest that the 1793G>A MTHFR, R353Q (11496G>A) factor VII gene and the 20210G>A factor II gene polymorphisms play a role in the etiology of RM in the Polish population.", 0.95, 0.6, "28819944"
"Background: Although the precise pathophysiology that leads to placental abruption is unknown, there is evidence supporting a genetic etiology. Methods: We searched PubMed and systematically reviewed all case-control studies that investigated the association between genetic variants and placental abruption. Pooled genetic risks were estimated using fixed and random effects odds ratios. Results: Twenty-two articles, examining a total of 14 gene polymorphisms were identified. Seven polymorphisms (F5 Arg506Gln, F5 Met385Thr, F2 G20210A, MTHFR A1298C, MTHFD1 Arg653Gln, NOS3 Glu298Asp, AGT Met235Thr) show significant association in individual studies. Six of the 7 (all except F5Met385Thr) were studied more than once and we therefore included them in our meta-analyses. A positive association under the dominant model was found for the F5 Arg506Gln and F2 G20210A polymorphisms. The random-effects odds ratio for the F5 Arg506Gln polymorphism was 3.4 (95% confidence interval = 1.4-8.3) and the fixed-effects odds ratio for the F2 G20210A polymorphism was 6.7 (3.2-13). Conclusion: Considering the multifactorial etiology of abruption and the relatively small numbers of studies and participants, this review provides only the first clues of possible genetic causes. Larger case-control studies that include gene-gene and gene-environment interactions may help to elucidate the genetics of placental abruption further.", 0.95, 1, "18277167"
"Background Key reactions in folate-mediated single-carbon metabolism are regulated by folate cycle enzymes. Violations of the folate cycle may be associated with the occurrence of fetal growth restriction (FGR) in pregnant women. Objective To study the relationship between polymorphisms of folate cycle genes in the mother with the development of FGR. Materials and Methods In this case-control study, 122 pregnant women with FGR and 243 pregnant women with normal newborn weight were enrolled. The polymorphic loci of folate cycle genes including rs1805087 5-methylenetetrahydrofolate (MTR) and rs1979277 serine hydroxymethyl transferase (SHMT1) were examined. The study of polymorphisms was carried out through the TaqMan probe detection method using polymerase chain reaction. Logistic regression was used to analyze the associations of the polymorphisms. Results It was established that the T allele rs1979277 of the SHMT1 gene was correlated with the development of FGR within the framework of the allelic (OR = 1.67, 95% CI 1.20-2.33, p perm < 0.01), additive (OR = 1.69, 95% CI 1.20-2.37, p perm < 0.01), dominant (OR = 1.81, 95% CI 1.15-2.87, p perm = 0.01) and recessive (OR = 2.34, 95% CI 1.15-4.73, p perm = 0.01) models. The association of the G rs1805087 allele of the MTR gene with the occurrence of FGR was also identified following the recessive model (OR = 3.01, 95% CI 1.05-8.68, p perm = 0.04). Conclusion Our results indicated that maternal polymorphic loci rs1979277 SHMT1 and rs1805087 MTR may be associated with the development of FGR.", 0.95, 0.4, "PMC8792379"
"Epidemiological studies have suggested that the condition of recurrent pregnancy loss (RPL) may be multifactorial, with both genetic predisposition and environmental factors potentially involved in its pathogenesis. The aim of this study is to elucidate the associations between maternal folate, alcohol and energy metabolism-related gene polymorphisms and the risk of RPL. This case-control study, which involved 116 cases with two or more instances of RPL and 306 fertile controls, was performed in the city of Sapporo, Japan. The associations between eight single nucleotide polymorphisms of folate, alcohol and energy metabolism-related genes [methylenetetrahydrofolate reductase (MTHFR), 5-methyltetrahydrofolate-homocysteine methyltransferase (MTR), 5-methyltetrahydrofolate-homocysteine methyltransferase reductase (MTRR), alcohol dehydrogenase 1B (ADH1B), aldehyde dehydrogenase 2 (ALDH2), beta-3-adrenergic receptor (ADRB3) and peroxisome proliferator-activated receptor gamma (PPARG)], and RPL were assessed. Without consideration of cigarette smoking or alcohol use, the risk of RPL significantly decreased in women with the MTHFR rs1801133 TT, MTR rs1805087 AG or ALDH2 rs671 AA genotype (P < 0.05). The risk of RPL associated with cigarette smoking and alcohol use decreased significantly in women carrying the MTHFR rs1801133 T allele [odds ratio (OR), 0.51; 95% confidence interval (CI), 0.27-0.95]. Similarly, the risk of RPL significantly decreased in women carrying the MTR rs1805087 G allele (OR, 0.44; 95% CI, 0.23-0.85). Our findings suggest that maternal gene polymorphisms related to folate metabolism may decrease the risk of RPL. Molecular epidemiological studies are needed to unequivocally elucidate the multifactorial effects of both genetic and environmental factors on human fecundity.", 0.95, 0.6, PMID: 25102261
